Bank_Name,API_Abb,API_Link,API_Name,SCH_Link,SCH_Name,Perm_SCH_Table,Version,API_Name,,OB,SQ1,https://sqm.openbanking.me.uk/cma-service-quality-metrics/v1.0/product-type/pca/area/GB/export-type/aggregated/wave/
AIB,ATM,https://api.aibgb.co.uk/open-banking,atms,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,atm,ATM_Schema,v1.2,atms,,OB,SQ2,https://sqm.openbanking.me.uk/cma-service-quality-metrics/v1.0/product-type/pca/area/GB/export-type/full/wave/
AIB,BCH,https://api.aibgb.co.uk/open-banking,branches,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,branch,BCH_Schema,v1.2,branches,,OB,SQ3,https://sqm.openbanking.me.uk/cma-service-quality-metrics/v1.0/product-type/pca/area/NI/export-type/aggregated/wave/
AIB,PCA,https://api.aibgb.co.uk/open-banking,personal-current-accounts,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,personal_current_account,PCA_Schema,v1.2,personal-current-accounts,,OB,SQ4,https://sqm.openbanking.me.uk/cma-service-quality-metrics/v1.0/product-type/pca/area/NI/export-type/full/wave/
AIB,BCA,https://api.aibgb.co.uk/open-banking,business-current-accounts,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,business_current_account,BCA_Schema,v1.2,business-current-accounts,,OB,SQ5,http://localhost/sasweb/data/temp/ob/sqm
AIB,SME,https://api.aibgb.co.uk/open-banking,unsecured-sme-loans,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,sme_loan,SME_Schema,v1.2,unsecured-sme-loans,,OB,SQ6,http://localhost/sasweb/data/temp/ob/sqm
AIB,CCC,https://api.aibgb.co.uk/open-banking,commercial-credit-cards,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,commercial_credit_card,CCC_Schema,v1.2,commercial-credit-cards,,OB,SQ7,http://localhost/sasweb/data/temp/ob/sqm
BOI,ATM,https://openapi.bankofireland.com/open-banking,atms,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,atm,ATM_Schema,v1.2,atms,,OB,SQ8,http://localhost/sasweb/data/temp/ob/sqm
BOI,BCH,https://openapi.bankofireland.com/open-banking,branches,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,branch,BCH_Schema,v1.2,branches,,,,
BOI,PCA,https://openapi.bankofireland.com/open-banking,personal-current-accounts,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,personal_current_account,PCA_Schema,v1.2,personal-current-accounts,,,,
BOI,BCA,https://openapi.bankofireland.com/open-banking,business-current-accounts,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,business_current_account,BCA_Schema,v1.2,business-current-accounts,,RBS,FCA - PRD,https://openapi.rbs.co.uk/open-banking/v1.0/fca-service-metrics/pca
