Bank_Name,Bank_Description       ,API_Name,API_Desc,Version_No,Version_No_Desc
NBS,NATIONWIDE BUILDING SOCIETY,ATM,ATMS,v1.2,API Version V1.2
NBS,NATIONWIDE BUILDING SOCIETY,BCH,BRANCHES,v1.2,API Version V1.2
NBS,NATIONWIDE BUILDING SOCIETY,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
AIB,ALLIED IRISH BANK,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
AIB,ALLIED IRISH BANK,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
AIB,ALLIED IRISH BANK,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
AIB,ALLIED IRISH BANK,SME,UNSECURED SME LOANS,v2.1,API Version V2.1
BOI,BANK OF IRELAND,ATM,ATMS,v1.2,API Version V1.2
BOI,BANK OF IRELAND,BCH,BRANCHES,v1.2,API Version V1.2
BOI,BANK OF IRELAND,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
BOI,BANK OF IRELAND,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
BOI,BANK OF IRELAND,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
BOI,BANK OF IRELAND,CCC,COMMERCIAL CREDIT CARDS,v1.2,API Version V1.2
BOS,BANK OF SCOTLAND,ATM,ATMS,v1.2,API Version V1.2
BOS,BANK OF SCOTLAND,BCH,BRANCHES,v1.2,API Version V1.2
BOS,BANK OF SCOTLAND,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
BOS,BANK OF SCOTLAND,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
BOS,BANK OF SCOTLAND,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
Danske,DANSKE BANK,ATM,ATMS,v1.2,API Version V1.2
Danske,DANSKE BANK,BCH,BRANCHES,v1.2,API Version V1.2
Danske,DANSKE BANK,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
Danske,DANSKE BANK,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
Danske,DANSKE BANK,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
Danske,DANSKE BANK,ATM,ATMS,v2.1,API Version V2.1
Danske,DANSKE BANK,BCH,BRANCHES,v2.1,API Version V2.1
Danske,DANSKE BANK,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
Danske,DANSKE BANK,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
Danske,DANSKE BANK,SME,UNSECURED SME LOANS,v2.1,API Version V2.1
HSBC,HSBC GROUP,ATM,ATMS,v1.2,API Version V1.2
HSBC,HSBC GROUP,BCH,BRANCHES,v1.2,API Version V1.2
HSBC,HSBC GROUP,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
HSBC,HSBC GROUP,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
HSBC,HSBC GROUP,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
HSBC,HSBC GROUP,CCC,COMMERCIAL CREDIT CARDS,v1.2,API Version V1.2
Firsttrust,FIRST TRUST BANK,ATM,ATMS,v1.2,API Version V1.2
Firsttrust,FIRST TRUST BANK,BCH,BRANCHES,v1.2,API Version V1.2
Firsttrust,FIRST TRUST BANK,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
Firsttrust,FIRST TRUST BANK,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
Firsttrust,FIRST TRUST BANK,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
Firsttrust,FIRST TRUST BANK,ATM,ATMS,v2.1,API Version V2.1
Firsttrust,FIRST TRUST BANK,BCH,BRANCHES,v2.1,API Version V2.1
Firsttrust,FIRST TRUST BANK,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
Firsttrust,FIRST TRUST BANK,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
Firsttrust,FIRST TRUST BANK,SME,UNSECURED SME LOANS,v2.1,API Version V2.1
Halifax,HALIFAX,ATM,ATMS,v1.2,API Version V1.2
Halifax,HALIFAX,BCH,BRANCHES,v1.2,API Version V1.2
Halifax,HALIFAX,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
Lloyds,LLOYDS BANK,ATM,ATMS,v1.2,API Version V1.2
Lloyds,LLOYDS BANK,BCH,BRANCHES,v1.2,API Version V1.2
Lloyds,LLOYDS BANK,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
Lloyds,LLOYDS BANK,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
Lloyds,LLOYDS BANK,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
Lloyds,LLOYDS BANK,CCC,COMMERCIAL CREDIT CARDS,v1.2,API Version V1.2
Natwest,NATWEST,ATM,ATMS,v1.2,API Version V1.2
Natwest,NATWEST,BCH,BRANCHES,v1.2,API Version V1.2
Natwest,NATWEST,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
Natwest,NATWEST,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
Natwest,NATWEST,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
Natwest,NATWEST,CCC,COMMERCIAL CREDIT CARDS,v1.2,API Version V1.2
Natwest,NATWEST,ATM,ATMS,v1.3,API Version V1.3
Natwest,NATWEST,BCH,BRANCHES,v1.3,API Version V1.3
Natwest,NATWEST,PCA,PERSONAL CURRENT ACCOUNTS,v1.3,API Version V1.3
Natwest,NATWEST,BCA,BUSINESS CURRENT ACCOUNTS,v1.3,API Version V1.3
Natwest,NATWEST,SME,UNSECURED SME LOANS,v1.3,API Version V1.3
Natwest,NATWEST,CCC,COMMERCIAL CREDIT CARDS,v1.3,API Version V1.3
RBS,ROYAL BANK OF SCOTLAND,ATM,ATMS,v1.2,API Version V1.2
RBS,ROYAL BANK OF SCOTLAND,BCH,BRANCHES,v1.2,API Version V1.2
RBS,ROYAL BANK OF SCOTLAND,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
RBS,ROYAL BANK OF SCOTLAND,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
RBS,ROYAL BANK OF SCOTLAND,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
RBS,ROYAL BANK OF SCOTLAND,CCC,COMMERCIAL CREDIT CARDS,v1.2,API Version V1.2
RBS,ROYAL BANK OF SCOTLAND,ATM,ATMS,v1.3,API Version V1.3
RBS,ROYAL BANK OF SCOTLAND,BCH,BRANCHES,v1.3,API Version V1.3
RBS,ROYAL BANK OF SCOTLAND,PCA,PERSONAL CURRENT ACCOUNTS,v1.3,API Version V1.3
RBS,ROYAL BANK OF SCOTLAND,BCA,BUSINESS CURRENT ACCOUNTS,v1.3,API Version V1.3
RBS,ROYAL BANK OF SCOTLAND,SME,UNSECURED SME LOANS,v1.3,API Version V1.3
RBS,ROYAL BANK OF SCOTLAND,CCC,COMMERCIAL CREDIT CARDS,v1.3,API Version V1.3
ESME,ESME,SME,UNSECURED SME LOANS,v1.3,API Version V1.3
ESME,ESME,SME,UNSECURED SME LOANS,v2.1,API Version V2.1
Coutts,COUTTS,BCA,BUSINESS CURRENT ACCOUNTS,v1.3,API Version V1.3
Coutts,COUTTS,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
AdamCo,ADAM AND COMPANY,BCA,BUSINESS CURRENT ACCOUNTS,v1.3,API Version V1.3
AdamCo,ADAM AND COMPANY,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
Santander,SANTANDER,ATM,ATMS,v1.2,API Version V1.2
Santander,SANTANDER,BCH,BRANCHES,v1.2,API Version V1.2
Santander,SANTANDER,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
Santander,SANTANDER,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
Santander,SANTANDER,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
Santander,SANTANDER,CCC,COMMERCIAL CREDIT CARDS,v1.2,API Version V1.2
Ulster,ULSTER BANK,ATM,ATMS,v1.2,API Version V1.2
Ulster,ULSTER BANK,BCH,BRANCHES,v1.2,API Version V1.2
Ulster,ULSTER BANK,PCA,PERSONAL CURRENT ACCOUNTS,v1.2,API Version V1.2
Ulster,ULSTER BANK,BCA,BUSINESS CURRENT ACCOUNTS,v1.2,API Version V1.2
Ulster,ULSTER BANK,SME,UNSECURED SME LOANS,v1.2,API Version V1.2
Ulster,ULSTER BANK,CCC,COMMERCIAL CREDIT CARDS,v1.2,API Version V1.2
Ulster,ULSTER BANK,ATM,ATMS,v1.3,API Version V1.3
Ulster,ULSTER BANK,BCH,BRANCHES,v1.3,API Version V1.3
Ulster,ULSTER BANK,PCA,PERSONAL CURRENT ACCOUNTS,v1.3,API Version V1.3
Ulster,ULSTER BANK,BCA,BUSINESS CURRENT ACCOUNTS,v1.3,API Version V1.3
Ulster,ULSTER BANK,SME,UNSECURED SME LOANS,v1.3,API Version V1.3
Ulster,ULSTER BANK,CCC,COMMERCIAL CREDIT CARDS,v1.3,API Version V1.3
Barclays,BARCLAYS BANK,ATM,ATMS,v1.3,API Version V1.3
Barclays,BARCLAYS BANK,BCH,BRANCHES,v1.3,API Version V1.3
Barclays,BARCLAYS BANK,PCA,PERSONAL CURRENT ACCOUNTS,v1.3,API Version V1.3
Barclays,BARCLAYS BANK,BCA,BUSINESS CURRENT ACCOUNTS,v1.3,API Version V1.3
Barclays,BARCLAYS BANK,SME,UNSECURED SME LOANS,v1.3,API Version V1.3
Barclays,BARCLAYS BANK,CCC,COMMERCIAL CREDIT CARDS,v1.3,API Version V1.3
NBS,NATIONWIDE BUILDING SOCIETY,ATM,ATMS,v2.1,API Version V2.1
NBS,NATIONWIDE BUILDING SOCIETY,BCH,BRANCHES,v2.1,API Version V2.1
NBS,NATIONWIDE BUILDING SOCIETY,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
BOI,BANK OF IRELAND,ATM,ATMS,v2.1,API Version V2.1
BOI,BANK OF IRELAND,BCH,BRANCHES,v2.1,API Version V2.1
BOI,BANK OF IRELAND,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
BOI,BANK OF IRELAND,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
BOI,BANK OF IRELAND,SME,UNSECURED SME LOANS,v2.1,API Version V2.1
BOI,BANK OF IRELAND,CCC,COMMERCIAL CREDIT CARDS,v2.1,API Version V2.1
BOI,BANK OF IRELAND,ATM,ATMS,v2.2,API Version V2.2
BOI,BANK OF IRELAND,BCH,BRANCHES,v2.2,API Version V2.2
BOI,BANK OF IRELAND,PCA,PERSONAL CURRENT ACCOUNTS,v2.2,API Version V2.2
BOI,BANK OF IRELAND,BCA,BUSINESS CURRENT ACCOUNTS,v2.2,API Version V2.2
BOI,BANK OF IRELAND,SME,UNSECURED SME LOANS,v2.2,API Version V2.2
BOI,BANK OF IRELAND,CCC,COMMERCIAL CREDIT CARDS,v2.2,API Version V2.2
BOS,BANK OF SCOTLAND,ATM,ATMS,v2.1,API Version V2.1
BOS,BANK OF SCOTLAND,BCH,BRANCHES,v2.1,API Version V2.1
BOS,BANK OF SCOTLAND,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
BOS,BANK OF SCOTLAND,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
BOS,BANK OF SCOTLAND,SME,UNSECURED SME LOANS,v2.1,API Version V2.1
BOS,BANK OF SCOTLAND,CCC,COMMERCIAL CREDIT CARDS,v2.1,API Version V2.1
Barclays,BARCLAYS BANK,ATM,ATMS,v2.1,API Version V2.1
Barclays,BARCLAYS BANK,BCH,BRANCHES,v2.1,API Version V2.1
Barclays,BARCLAYS BANK,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
Barclays,BARCLAYS BANK,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
Barclays,BARCLAYS BANK,SME,UNSECURED SME LOANS,v2.1,API Version V2.1
Barclays,BARCLAYS BANK,CCC,COMMERCIAL CREDIT CARDS,v2.1,API Version V2.1
HSBC,HSBC GROUP,ATM,ATMS,v2.1,API Version V2.1
HSBC,HSBC GROUP,BCH,BRANCHES,v2.1,API Version V2.1
HSBC,HSBC GROUP,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
HSBC,HSBC GROUP,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
HSBC,HSBC GROUP,SME,UNSECURED SME LOANS,v2.1,API Version V2.1
HSBC,HSBC GROUP,CCC,COMMERCIAL CREDIT CARDS,v2.1,API Version V2.1
Halifax,HALIFAX,ATM,ATMS,v2.1,API Version V2.1
Halifax,HALIFAX,BCH,BRANCHES,v2.1,API Version V2.1
Halifax,HALIFAX,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
Lloyds,LLOYDS BANK,ATM,ATMS,v2.1,API Version V2.1
Lloyds,LLOYDS BANK,BCH,BRANCHES,v2.1,API Version V2.1
Lloyds,LLOYDS BANK,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
Lloyds,LLOYDS BANK,BCA,BUSINESS CURRENT ACCOUNTS,v2.1,API Version V2.1
Lloyds,LLOYDS BANK,SME,UNSECURED SME LOANS,v2.1,API Version V2.1
Lloyds,LLOYDS BANK,CCC,COMMERCIAL CREDIT CARDS,v2.1,API Version V2.1
Lloyds,LLOYDS BANK,ATM,ATMS,v2.1.1,API Version V2.1.1
Lloyds,LLOYDS BANK,BCH,BRANCHES,v2.1.1,API Version V2.1.1
Lloyds,LLOYDS BANK,PCA,PERSONAL CURRENT ACCOUNTS,v2.1.1,API Version V2.1.1
Lloyds,LLOYDS BANK,BCA,BUSINESS CURRENT ACCOUNTS,v2.1.1,API Version V2.1.1
Lloyds,LLOYDS BANK,SME,UNSECURED SME LOANS,v2.1.1,API Version V2.1.1
Lloyds,LLOYDS BANK,CCC,COMMERCIAL CREDIT CARDS,v2.1.1,API Version V2.1.1
Natwest,NATWEST,ATM,ATMS,v2.1,API Version V2.1
Natwest,NATWEST,BCH,BRANCHES,v2.1,API Version V2.1
Natwest,NATWEST,PCA,PERSONAL CURRENT ACCOUNTS,v2.1,API Version V2.1
